time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,type,duration
2022-05-09 09:53:04 659:985:952,1,0,0,ag2212.SHFE,SELL,OPEN,4884,1,insert,1.65206E+18
2022-05-09 09:53:12 167:130:391,1,0,0,ag2212.SHFE,SELL,OPEN,4884,1,cancel,1.65192E+18
2022-05-09 09:53:12 167:320:860,1,0,0,ag2212.SHFE,SELL,OPEN,4884,1,cancel,1.65192E+18
2022-05-09 09:53:12 170:557:169,2,0,0,ag2212.SHFE,SELL,OPEN,4883,1,insert,1.65206E+18
2022-05-09 09:54:42 859:805:058,3,0,0,ag2206.SHFE,BUY,OPEN,4836,1,insert,1.65206E+18
2022-05-09 09:54:42 860:435:378,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4881,1,insert,1.65206E+18
2022-05-09 09:54:44 165:242:207,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4881,1,cancel,1.65206E+18
2022-05-09 09:54:44 165:728:392,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4881,1,cancel,1.65206E+18
2022-05-09 09:54:44 167:888:438,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4882,1,insert,1.65206E+18
2022-05-09 09:55:44 575:051:650,6,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4834,1,insert,1.65206E+18
2022-05-09 09:55:44 662:794:266,7,0,0,ag2212.SHFE,BUY,OPEN,4881,1,insert,1.65206E+18
2022-05-09 09:56:01 675:432:087,7,0,0,ag2212.SHFE,BUY,OPEN,4881,1,cancel,1.65206E+18
2022-05-09 09:56:01 675:865:682,7,0,0,ag2212.SHFE,BUY,OPEN,4881,1,cancel,1.65206E+18
2022-05-09 09:56:01 682:207:214,8,0,0,ag2212.SHFE,BUY,OPEN,4882,1,insert,1.65206E+18
2022-05-09 09:56:55 167:214:707,8,0,0,ag2212.SHFE,BUY,OPEN,4882,1,cancel,1.65206E+18
2022-05-09 09:56:55 167:266:219,8,0,0,ag2212.SHFE,BUY,OPEN,4882,1,cancel,1.65206E+18
2022-05-09 09:56:55 176:531:754,9,0,0,ag2212.SHFE,BUY,OPEN,4883,1,insert,1.65206E+18
2022-05-09 09:57:08 660:119:172,10,0,0,ag2206.SHFE,SELL,OPEN,4834,1,insert,1.65206E+18
2022-05-09 09:57:08 666:035:819,11,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4885,1,insert,1.65206E+18
2022-05-09 09:57:10 659:657:415,11,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4885,1,cancel,1.65206E+18
2022-05-09 09:57:10 659:943:512,11,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4885,1,cancel,1.65206E+18
2022-05-09 09:57:10 665:453:272,12,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4884,1,insert,1.65206E+18
2022-05-09 09:57:16 170:277:898,12,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4884,1,cancel,1.65206E+18
2022-05-09 09:57:16 170:872:662,12,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4884,1,cancel,1.65206E+18
2022-05-09 09:57:16 173:814:921,13,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4883,1,insert,1.65206E+18
2022-05-09 09:57:30 658:795:967,13,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4883,1,cancel,1.65206E+18
2022-05-09 09:57:30 659:026:625,13,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4883,1,cancel,1.65206E+18
2022-05-09 09:57:30 661:789:927,14,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4882,1,insert,1.65206E+18
2022-05-09 09:58:50 677:503:023,14,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4882,1,cancel,1.65206E+18
2022-05-09 09:58:50 677:889:814,14,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4882,1,cancel,1.65206E+18
2022-05-09 09:58:50 680:594:000,15,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4881,1,insert,1.65206E+18
2022-05-09 10:00:06 183:261:414,15,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4881,1,cancel,1.65206E+18
2022-05-09 10:00:06 183:361:467,15,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4881,1,cancel,1.65206E+18
2022-05-09 10:00:06 194:719:622,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4880,1,insert,1.65206E+18
2022-05-09 10:02:08 677:426:763,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4880,1,cancel,1.65206E+18
2022-05-09 10:02:08 677:554:123,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4880,1,cancel,1.65206E+18
2022-05-09 10:02:08 683:432:154,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4879,1,insert,1.65206E+18
2022-05-09 10:02:42 179:194:638,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4879,1,cancel,1.65206E+18
2022-05-09 10:02:42 179:235:853,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4879,1,cancel,1.65206E+18
2022-05-09 10:02:42 181:143:691,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4878,1,insert,1.65206E+18
2022-05-09 10:02:54 672:736:838,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4878,1,cancel,1.65206E+18
2022-05-09 10:02:54 673:224:129,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4878,1,cancel,1.65206E+18
2022-05-09 10:02:54 675:045:436,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4877,1,insert,1.65206E+18
2022-05-09 10:03:36 687:062:187,20,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4830,1,insert,1.65206E+18
2022-05-09 10:03:37 179:292:504,21,0,0,ag2212.SHFE,SELL,OPEN,4879,1,insert,1.65206E+18
0712
