序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部
110,138411,？？？？？？？？′？？？,171409,000000025545,SHFE,ni2208,ni2208,买,平今,165910,1,全部成交,165910.0,1,0,0,00:03:27,,00:03:27,20220702 00:03:27,--,340.00,340.00,投机,GFD,套利[C33],,,ni09-08:Spread[C33],普通,138411,,,,InfiniV8_1,3,-290971658,
109,138411,？？？？？？？？′？？？,171408,000000025537,SHFE,ni2209,ni2209,    卖,平今,160810,1,全部成交,160810.0,1,0,0,00:03:27,,00:03:27,20220702 00:03:27,--,-140.00,-140.00,投机,GFD,套利[C33],,,ni09-08:Spread[C33],普通,138411,,,,InfiniV8_1,3,-290971658,
108,138411,？？？？？？？？′？？？,168445,000000024969,SHFE,ni2208,ni2208,买,平今,166060,1,全部成交,166060.0,1,0,0,23:51:57,,23:51:57,20220701 23:51:57,--,240.00,240.00,投机,GFD,套利[C31],,,ni09-08:Spread[C31],普通,138411,,,,InfiniV8_1,3,-290971658,
107,138411,？？？？？？？？′？？？,168443,000000024961,SHFE,ni2209,ni2209,    卖,平今,160910,1,全部成交,160910.0,1,0,0,23:51:57,,23:51:57,20220701 23:51:57,--,-140.00,-140.00,投机,GFD,套利[C31],,,ni09-08:Spread[C31],普通,138411,,,,InfiniV8_1,3,-290971658,
106,138411,？？？？？？？？′？？？,168238,000000024833,SHFE,ni2208,ni2208,买,平今,166250,1,全部成交,166250.0,1,0,0,23:51:23,,23:51:23,20220701 23:51:23,--,50.00,50.00,投机,GFD,套利[C31],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C31],普通,138411,,,,InfiniV8_1,3,-290971658,
105,138411,？？？？？？？？′？？？,168232,000000024809,SHFE,ni2209,ni2209,    卖,平今,161050,1,全部成交,161050.0,1,0,0,23:51:22,,23:51:22,20220701 23:51:22,--,--,--,投机,GFD,套利[C31],,,ni09-08:Spread[C31],普通,138411,,,,InfiniV8_1,3,-290971658,
104,138411,？？？？？？？？′？？？,167498,000000024577,SHFE,ni2208,ni2208,    卖,开仓,166250,1,全部成交,166250.0,1,0,0,23:50:09,,23:50:09,20220701 23:50:09,1.00,--,--,投机,GFD,套利[C30],,,ni09-08:Spread[C30],普通,138411,,,,InfiniV8_1,3,-290971658,
103,138411,？？？？？？？？′？？？,167497,000000024569,SHFE,ni2209,ni2209,买,开仓,160950,1,全部成交,160950.0,1,0,0,23:50:09,,23:50:09,20220701 23:50:09,1.00,--,--,投机,GFD,套利[C30],,,ni09-08:Spread[C30],普通,138411,,,,InfiniV8_1,3,-290971658,
102,138411,？？？？？？？？′？？？,167383,000000024497,SHFE,ni2208,ni2208,    卖,开仓,166300,1,全部成交,166300.0,1,0,0,23:49:59,,23:49:59,20220701 23:49:59,1.00,--,--,投机,GFD,套利[C30],,,ni09-08:Spread[C30],普通,138411,,,,InfiniV8_1,3,-290971658,
101,138411,？？？？？？？？′？？？,167382,000000024489,SHFE,ni2208,ni2208,    卖,开仓,166300,1,全部成交,166300.0,1,0,0,23:49:59,,23:49:59,20220701 23:49:59,1.00,--,--,投机,GFD,套利[C28],,,ni09-08:Spread[C28],普通,138411,,,,InfiniV8_1,3,-290971658,
100,138411,？？？？？？？？′？？？,167381,000000024481,SHFE,ni2209,ni2209,买,开仓,161050,1,全部成交,161050.0,1,0,0,23:49:59,,23:49:59,20220701 23:49:59,1.00,--,--,投机,GFD,套利[C30],,,ni09-08:Spread[C30],普通,138411,,,,InfiniV8_1,3,-290971658,
99,138411,？？？？？？？？′？？？,167380,000000024473,SHFE,ni2209,ni2209,买,开仓,161050,1,全部成交,161050.0,1,0,0,23:49:59,,23:49:59,20220701 23:49:59,1.00,--,--,投机,GFD,套利[C28],,,ni09-08:Spread[C28],普通,138411,,,,InfiniV8_1,3,-290971658,
98,138411,？？？？？？？？′？？？,164563,000000022065,SHFE,ni2208,ni2208,买,平今,166660,1,全部成交,166660.0,1,0,0,23:42:01,,23:42:01,20220701 23:42:01,--,80.00,80.00,投机,GFD,套利[C29],,,ni09-08:Spread[C29],普通,138411,,,,InfiniV8_1,3,-290971658,
97,138411,？？？？？？？？′？？？,164562,000000022057,SHFE,ni2209,ni2209,    卖,平今,161510,1,全部成交,161510.0,1,0,0,23:42:01,,23:42:01,20220701 23:42:01,--,30.00,30.00,投机,GFD,套利[C29],,,ni09-08:Spread[C29],普通,138411,,,,InfiniV8_1,3,-290971658,
96,138411,？？？？？？？？′？？？,164248,000000021761,SHFE,ni2208,ni2208,    卖,开仓,166740,1,全部成交,166740.0,1,0,0,23:41:04,,23:41:04,20220701 23:41:04,1.00,--,--,投机,GFD,套利[C28],,,ni09-08:Spread[C28],普通,138411,,,,InfiniV8_1,3,-290971658,
95,138411,？？？？？？？？′？？？,164247,000000021753,SHFE,ni2209,ni2209,买,开仓,161480,1,全部成交,161480.0,1,0,0,23:41:04,,23:41:04,20220701 23:41:04,1.00,--,--,投机,GFD,套利[C28],,,ni09-08:Spread[C28],普通,138411,,,,InfiniV8_1,3,-290971658,
94,138411,？？？？？？？？′？？？,157737,000000021297,SHFE,ni2208,ni2208,买,平今,166910,1,全部成交,166910.0,1,0,0,23:22:19,,23:22:19,20220701 23:22:19,--,-290.00,-290.00,投机,GFD,套利[C27],,,ni09-08:Spread[C27],普通,138411,,,,InfiniV8_1,3,-290971658,
93,138411,？？？？？？？？′？？？,157730,000000021289,SHFE,ni2209,ni2209,    卖,平今,161720,1,全部成交,161720.0,1,0,0,23:22:18,,23:22:19,20220701 23:22:19,--,520.00,520.00,投机,GFD,套利[C27],,,ni09-08:Spread[C27],普通,138411,,,,InfiniV8_1,3,-290971658,
92,138411,？？？？？？？？′？？？,157679,000000021169,SHFE,ni2208,ni2208,买,平今,167020,1,全部成交,167020.0,1,0,0,23:22:03,,23:22:03,20220701 23:22:03,--,-280.00,-280.00,投机,GFD,套利[C27],,,ni09-08:Spread[C27],普通,138411,,,,InfiniV8_1,3,-290971658,
91,138411,？？？？？？？？′？？？,157678,000000021161,SHFE,ni2209,ni2209,    卖,平今,161770,1,全部成交,161770.0,1,0,0,23:22:03,,23:22:03,20220701 23:22:03,--,570.00,570.00,投机,GFD,套利[C27],,,ni09-08:Spread[C27],普通,138411,,,,InfiniV8_1,3,-290971658,
90,138411,？？？？？？？？′？？？,156417,000000020945,SHFE,ni2208,ni2208,    卖,开仓,166620,1,全部成交,166620.0,1,0,0,23:16:17,,23:16:17,20220701 23:16:17,1.00,--,--,投机,GFD,套利[C26],,,ni09-08:Spread[C26],普通,138411,,,,InfiniV8_1,3,-290971658,
89,138411,？？？？？？？？′？？？,156416,000000020937,SHFE,ni2209,ni2209,买,开仓,161200,1,全部成交,161200.0,1,0,0,23:16:17,,23:16:17,20220701 23:16:17,1.00,--,--,投机,GFD,套利[C26],,,ni09-08:Spread[C26],普通,138411,,,,InfiniV8_1,3,-290971658,
88,138411,？？？？？？？？′？？？,156406,000000020929,SHFE,ni2208,ni2208,    卖,开仓,166740,1,全部成交,166740.0,1,0,0,23:16:17,,23:16:17,20220701 23:16:17,1.00,--,--,投机,GFD,套利[C26],,,ni09-08:Spread[C26],普通,138411,,,,InfiniV8_1,3,-290971658,
87,138411,？？？？？？？？′？？？,156405,000000020921,SHFE,ni2209,ni2209,买,开仓,161200,1,全部成交,161200.0,1,0,0,23:16:17,,23:16:17,20220701 23:16:17,1.00,--,--,投机,GFD,套利[C26],,,ni09-08:Spread[C26],普通,138411,,,,InfiniV8_1,3,-290971658,
86,138411,？？？？？？？？′？？？,155899,000000020545,SHFE,ni2208,ni2208,买,平今,166870,1,全部成交,166870.0,1,0,0,23:14:45,,23:14:45,20220701 23:14:45,--,630.00,630.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
85,138411,？？？？？？？？′？？？,155898,000000020537,SHFE,ni2209,ni2209,    卖,平今,161780,1,全部成交,161780.0,1,0,0,23:14:45,,23:14:45,20220701 23:14:45,--,-530.00,-530.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
84,138411,？？？？？？？？′？？？,155821,000000020153,SHFE,ni2208,ni2208,买,平今,167300,1,全部成交,167300.0,1,0,0,23:14:25,,23:14:25,20220701 23:14:25,--,220.00,220.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
83,138411,？？？？？？？？′？？？,155819,000000020129,SHFE,ni2209,ni2209,    卖,平今,162290,1,全部成交,162300.0,1,0,0,23:14:25,,23:14:25,20220701 23:14:25,--,-30.00,-30.00,投机,GFD,套利[C25],28:SHFE:报单已经全部成交,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
82,138411,？？？？？？？？′？？？,155809,000000020057,SHFE,ni2208,ni2208,买,平今,167420,1,全部成交,167420.0,1,0,0,23:14:20,,23:14:20,20220701 23:14:20,--,1180.00,1180.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
81,138411,？？？？？？？？′？？？,155808,000000020049,SHFE,ni2209,ni2209,    卖,平今,162350,1,全部成交,162350.0,1,0,0,23:14:20,,23:14:20,20220701 23:14:20,--,-1150.00,-1150.00,投机,GFD,套利[C25],,,ni09-08:Spread[C25],普通,138411,,,,InfiniV8_1,3,-290971658,
80,138411,？？？？？？？？′？？？,155378,000000019673,SHFE,ni2208,ni2208,    卖,开仓,167500,1,全部成交,167500.0,1,0,0,23:12:35,,23:12:35,20220701 23:12:35,1.00,--,--,投机,GFD,套利[C24],,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
79,138411,？？？？？？？？′？？？,155377,000000019657,SHFE,ni2209,ni2209,买,开仓,162310,1,全部成交,162310.0,1,0,0,23:12:35,,23:12:35,20220701 23:12:35,1.00,--,--,投机,GFD,套利[C24],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
78,138411,？？？？？？？？′？？？,155374,000000019649,SHFE,ni2208,ni2208,    卖,开仓,167520,1,全部成交,167520.0,1,0,0,23:12:34,,23:12:34,20220701 23:12:34,1.00,--,--,投机,GFD,套利[C24],,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
77,138411,？？？？？？？？′？？？,155373,000000019633,SHFE,ni2209,ni2209,买,开仓,162330,1,全部成交,162330.0,1,0,0,23:12:33,,23:12:34,20220701 23:12:34,1.00,--,--,投机,GFD,套利[C24],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C24],普通,138411,,,,InfiniV8_1,3,-290971658,
76,138411,？？？？？？？？′？？？,154714,000000019097,SHFE,ni2208,ni2208,买,平今,167540,1,全部成交,167540.0,1,0,0,23:09:16,,23:09:16,20220701 23:09:16,--,1130.00,1130.00,投机,GFD,套利[C23],,,ni09-08:Spread[C23],普通,138411,,,,InfiniV8_1,3,-290971658,
75,138411,？？？？？？？？′？？？,154707,000000019089,SHFE,ni2209,ni2209,    卖,平今,162600,1,全部成交,162600.0,1,0,0,23:09:14,,23:09:16,20220701 23:09:16,--,-900.00,-900.00,投机,GFD,套利[C23],,,ni09-08:Spread[C23],普通,138411,,,,InfiniV8_1,3,-290971658,
74,138411,？？？？？？？？′？？？,153801,000000018409,SHFE,ni2208,ni2208,    卖,开仓,168600,1,全部成交,168600.0,1,0,0,23:06:07,,23:06:07,20220701 23:06:07,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
73,138411,？？？？？？？？′？？？,153800,000000018401,SHFE,ni2209,ni2209,买,开仓,163500,1,全部成交,163500.0,1,0,0,23:06:07,,23:06:07,20220701 23:06:07,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
72,138411,？？？？？？？？′？？？,153790,000000018393,SHFE,ni2208,ni2208,    卖,开仓,168670,1,全部成交,168670.0,1,0,0,23:06:06,,23:06:06,20220701 23:06:06,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
71,138411,？？？？？？？？′？？？,153789,000000018385,SHFE,ni2209,ni2209,买,开仓,163500,1,全部成交,163500.0,1,0,0,23:06:06,,23:06:06,20220701 23:06:06,1.00,--,--,投机,GFD,套利[C22],,,ni09-08:Spread[C22],普通,138411,,,,InfiniV8_1,3,-290971658,
70,138411,？？？？？？？？′？？？,149150,000000016313,SHFE,ni2208,ni2208,买,平今,168920,1,全部成交,168920.0,1,0,0,22:58:53,,22:58:53,20220701 22:58:53,--,280.00,280.00,投机,GFD,套利[C20],,,ni09-08:Spread[C20],普通,138411,,,,InfiniV8_1,3,-290971658,
69,138411,？？？？？？？？′？？？,149148,000000016305,SHFE,ni2209,ni2209,    卖,平今,163980,1,全部成交,163980.0,1,0,0,22:58:53,,22:58:53,20220701 22:58:53,--,-130.00,-130.00,投机,GFD,套利[C20],,,ni09-08:Spread[C20],普通,138411,,,,InfiniV8_1,3,-290971658,
68,138411,？？？？？？？？′？？？,145505,000000015945,SHFE,ni2208,ni2208,买,平今,169190,1,全部成交,169190.0,1,0,0,22:56:51,,22:56:51,20220701 22:56:51,--,-220.00,-220.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
67,138411,？？？？？？？？′？？？,145504,000000015937,SHFE,ni2209,ni2209,    卖,平今,164300,1,全部成交,164300.0,1,0,0,22:56:51,,22:56:51,20220701 22:56:51,--,340.00,340.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
66,138411,？？？？？？？？′？？？,140372,000000014041,SHFE,ni2208,ni2208,    卖,开仓,169200,1,全部成交,169200.0,1,0,0,22:53:38,,22:53:38,20220701 22:53:38,1.00,--,--,投机,GFD,套利[C19],,,ni09-08:Spread[C19],普通,138411,,,,InfiniV8_1,3,-290971658,
65,138411,？？？？？？？？′？？？,140347,000000014025,SHFE,ni2209,ni2209,买,开仓,164110,1,全部成交,164110.0,1,0,0,22:53:37,,22:53:38,20220701 22:53:38,1.00,--,--,投机,GFD,套利[C19],28:SHFE:报单已经全部成交,,ni09-08:Spread[C19],普通,138411,,,,InfiniV8_1,3,-290971658,
64,138411,？？？？？？？？′？？？,131736,000000012177,SHFE,ni2208,ni2208,买,平今,169870,1,全部成交,169870.0,1,0,0,22:48:10,,22:48:10,20220701 22:48:10,--,-860.00,-860.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
63,138411,？？？？？？？？′？？？,131734,000000012169,SHFE,ni2209,ni2209,    卖,平今,164970,1,全部成交,164970.0,1,0,0,22:48:10,,22:48:10,20220701 22:48:10,--,1020.00,1020.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
62,138411,？？？？？？？？′？？？,123873,000000011729,SHFE,ni2208,ni2208,    卖,开仓,168970,1,全部成交,168970.0,1,0,0,22:39:46,,22:39:46,20220701 22:39:46,1.00,--,--,投机,GFD,套利[C17],,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
61,138411,？？？？？？？？′？？？,123857,000000011713,SHFE,ni2209,ni2209,买,开仓,163970,1,全部成交,163960.0,1,0,0,22:39:44,,22:39:46,20220701 22:39:46,1.00,--,--,投机,GFD,套利[C17],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
60,138411,？？？？？？？？′？？？,123721,000000011417,SHFE,ni2208,ni2208,    卖,开仓,169010,1,全部成交,169010.0,1,0,0,22:39:29,,22:39:29,20220701 22:39:29,1.00,--,--,投机,GFD,套利[C17],,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
59,138411,？？？？？？？？′？？？,123719,000000011401,SHFE,ni2209,ni2209,买,开仓,164010,1,全部成交,163950.0,1,0,0,22:39:29,,22:39:29,20220701 22:39:29,1.00,--,--,投机,GFD,套利[C17],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
58,138411,？？？？？？？？′？？？,122743,000000010705,SHFE,ni2208,ni2208,买,平今,169000,1,全部成交,169000.0,1,0,0,22:37:52,,22:37:52,20220701 22:37:52,--,-240.00,-240.00,投机,GFD,套利[C16],,,ni09-08:Spread[C16],普通,138411,,,,InfiniV8_1,3,-290971658,
57,138411,？？？？？？？？′？？？,122736,000000010689,SHFE,ni2209,ni2209,    卖,平今,164070,1,全部成交,164080.0,1,0,0,22:37:52,,22:37:52,20220701 22:37:52,--,350.00,350.00,投机,GFD,套利[C16],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C16],普通,138411,,,,InfiniV8_1,3,-290971658,
